"accession","gene.name"
"1433B_MOUSE","Ywhab"
"1433B_MOUSE","Ywhab"
"1433B_MOUSE","Ywhab"
"1433B_MOUSE","Ywhab"
"1433B_MOUSE","Ywhab"
"1433B_MOUSE","Ywhab"
"1433B_MOUSE","Ywhab"
"1433B_MOUSE","Ywhab"
"1433B_MOUSE","Ywhab"
"1433E_MOUSE","Ywhae"
"1433E_MOUSE","Ywhae"
"1433E_MOUSE","Ywhae"
"1433E_MOUSE","Ywhae"
"1433E_MOUSE","Ywhae"
"1433E_MOUSE","Ywhae"
"1433E_MOUSE","Ywhae"
"1433E_MOUSE","Ywhae"
"1433E_MOUSE","Ywhae"
"1433F_MOUSE","Ywhah"
"1433F_MOUSE","Ywhah"
"1433F_MOUSE","Ywhah"
"1433F_MOUSE","Ywhah"
"1433F_MOUSE","Ywhah"
"1433F_MOUSE","Ywhah"
"1433F_MOUSE","Ywhah"
"1433F_MOUSE","Ywhah"
"1433F_MOUSE","Ywhah"
"1433G_MOUSE","Ywhag"
"1433G_MOUSE","Ywhag"
"1433G_MOUSE","Ywhag"
"1433G_MOUSE","Ywhag"
"1433G_MOUSE","Ywhag"
"1433G_MOUSE","Ywhag"
"1433G_MOUSE","Ywhag"
"1433G_MOUSE","Ywhag"
"1433G_MOUSE","Ywhag"
"1433T_MOUSE","Ywhaq"
"1433T_MOUSE","Ywhaq"
"1433T_MOUSE","Ywhaq"
"1433T_MOUSE","Ywhaq"
"1433T_MOUSE","Ywhaq"
"1433T_MOUSE","Ywhaq"
"1433T_MOUSE","Ywhaq"
"1433T_MOUSE","Ywhaq"
"1433T_MOUSE","Ywhaq"
"1433Z_MOUSE","Ywhaz"
"1433Z_MOUSE","Ywhaz"
"1433Z_MOUSE","Ywhaz"
"1433Z_MOUSE","Ywhaz"
"1433Z_MOUSE","Ywhaz"
"1433Z_MOUSE","Ywhaz"
"1433Z_MOUSE","Ywhaz"
"1433Z_MOUSE","Ywhaz"
"1433Z_MOUSE","Ywhaz"
"2A5A_MOUSE","Ppp2r5a"
"2A5A_MOUSE","Ppp2r5a"
"2A5A_MOUSE","Ppp2r5a"
"2A5A_MOUSE","Ppp2r5a"
"2A5A_MOUSE","Ppp2r5a"
"2A5A_MOUSE","Ppp2r5a"
"2A5A_MOUSE","Ppp2r5a"
"2A5A_MOUSE","Ppp2r5a"
"2A5A_MOUSE","Ppp2r5a"
"2AAA_MOUSE","Ppp2r1a"
"2AAA_MOUSE","Ppp2r1a"
"2AAA_MOUSE","Ppp2r1a"
"2AAA_MOUSE","Ppp2r1a"
"2AAA_MOUSE","Ppp2r1a"
"2AAA_MOUSE","Ppp2r1a"
"2AAA_MOUSE","Ppp2r1a"
"2AAA_MOUSE","Ppp2r1a"
"2AAA_MOUSE","Ppp2r1a"
"2ABA_MOUSE","Ppp2r2a"
"2ABA_MOUSE","Ppp2r2a"
"2ABA_MOUSE","Ppp2r2a"
"2ABA_MOUSE","Ppp2r2a"
"2ABA_MOUSE","Ppp2r2a"
"2ABA_MOUSE","Ppp2r2a"
"2ABA_MOUSE","Ppp2r2a"
"2ABA_MOUSE","Ppp2r2a"
"2ABA_MOUSE","Ppp2r2a"
"3HIDH_MOUSE","Hibadh"
"3HIDH_MOUSE","Hibadh"
"3HIDH_MOUSE","Hibadh"
"3HIDH_MOUSE","Hibadh"
"3HIDH_MOUSE","Hibadh"
"3HIDH_MOUSE","Hibadh"
"3HIDH_MOUSE","Hibadh"
"3HIDH_MOUSE","Hibadh"
"3HIDH_MOUSE","Hibadh"
"4F2_MOUSE","Slc3a2"
"4F2_MOUSE","Slc3a2"
"4F2_MOUSE","Slc3a2"
