"accession","description","I_mean","VC_mean","I_SD","VC_SD","p.val","q.val","p.adj","IvsVC.FC","direction","negLog10P"
"1433B","14-3-3 protein beta/alpha ",2.21836896944637,2.12318867432973,0.0664192026117243,0.128085463847117,0.316949776085005,0.336352290106191,0.581325837825352,0.0632667610968856,"NS",0.499009550707216
"1433E","14-3-3 protein epsilon ",7.05391769148921,7.53905607923416,0.544827042298099,2.31013383717296,0.741192965195683,0.500948197926558,0.865800945713246,-0.09595916165867,"NS",0.130068711305642
"1433F","14-3-3 protein eta ",0.776098248680925,0.74713021554013,0.0717472555268453,0.0695992440242795,0.642074625950237,0.46437655271208,0.802593282437797,0.0548795904064564,"NS",0.19241449256215
"1433G","14-3-3 protein gamma ",2.4591201260884,2.81599957142042,0.571766231656314,0.0588078381526231,0.342728636985817,0.345821899599209,0.597692394065148,-0.19550490322903,"NS",0.465049606205333
"1433T","14-3-3 protein theta ",1.95818422299324,1.77241807687921,0.103687936268828,0.182278533628036,0.199737048360453,0.27637630429581,0.477667883869951,0.143797551833673,"NS",0.699541372254018
"1433Z","14-3-3 protein zeta/delta ",8.26245662409798,10.155548277627,1.85134806140797,0.687784493514747,0.172204135930895,0.258927896097388,0.447511375907826,-0.297625431988142,"NS",0.763956422043835
"2A5A","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform ",0.014551327748586,0.026919920956038,0.00972692393014184,0.0087576878430183,0.177018379223559,0.262858301749429,0.454304391522331,-0.887523374716245,"NS",0.751981639960301
"2AAA","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform ",1.31730888488586,1.8102611007252,0.329811043352314,0.475935209929912,0.214354471022936,0.284820421318877,0.492262056549969,-0.458604126702803,"NS",0.66886745350936
"2ABA","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform ",0.287247787708138,0.29433578606473,0.0615052784798199,0.0226902816052113,0.860565733745277,0.539164800141173,0.931851628151696,-0.0351671776018259,"NS",0.0652159507721926
"3HIDH","3-hydroxyisobutyrate dehydrogenase, mitochondrial ",0.33813709572884,0.300913352649151,0.042097857636524,0.0416795894709797,0.33762958202056,0.343926156034684,0.594415934387702,0.168260171616411,"NS",0.47155950889041
"4F2","4F2 cell-surface antigen heavy chain ",0.519708092127318,0.456541202799827,0.118504987776883,0.0787624479730563,0.48483684052994,0.405806878705236,0.701365891351991,0.186956453523928,"NS",0.314404387540247
"5NT3A","Cytosolic 5'-nucleotidase 3A ",0.00760991227770552,0.0108574772727248,0.00148348526342786,0.00415569939392412,0.271408426632688,0.31622375637202,0.546537203760993,-0.51273720443807,"NS",0.566376672581717
